Timestamp, Temperature(C), Humidity(%),Pressure(hPa)
2024-07-19 22:06:34,21.74,62.25,1006.65
2024-07-19 22:06:36,21.74,62.18,1006.64
2024-07-19 22:06:38,21.73,62.17,1006.65
2024-07-19 22:06:41,21.74,62.07,1006.66
2024-07-19 22:06:43,21.73,62.11,1006.66
2024-07-19 22:06:45,21.74,62.06,1006.65
2024-07-19 22:06:47,21.74,62.08,1006.65
2024-07-19 22:06:49,21.74,62.08,1006.67
2024-07-19 22:06:51,21.74,62.01,1006.65
2024-07-19 22:06:53,21.74,62.21,1006.65
2024-07-19 22:06:56,21.75,62.04,1006.65
2024-07-19 22:06:58,21.74,62.13,1006.67
2024-07-19 22:07:00,21.75,62.06,1006.64
2024-07-19 22:07:02,21.74,62.02,1006.63
2024-07-19 22:07:04,21.74,62.23,1006.64
2024-07-19 22:07:06,21.76,62.69,1006.63
2024-07-19 22:07:08,21.78,62.75,1006.62
2024-07-19 22:07:10,21.78,62.57,1006.62
2024-07-19 22:07:13,21.78,62.40,1006.66
2024-07-19 22:07:15,21.78,62.30,1006.61
2024-07-19 22:07:17,21.78,62.17,1006.64
2024-07-19 22:07:19,21.79,62.22,1006.64
2024-07-19 22:07:21,21.78,62.06,1006.61
2024-07-19 22:07:23,21.78,62.19,1006.61
2024-07-19 22:07:25,21.78,62.03,1006.63
2024-07-19 22:07:28,21.78,62.04,1006.61
2024-07-19 22:07:30,21.77,61.92,1006.64
2024-07-19 22:07:32,21.77,62.06,1006.62
2024-07-19 22:07:34,21.78,61.96,1006.62
2024-07-19 22:07:36,21.78,61.83,1006.59
2024-07-19 22:07:38,21.77,61.96,1006.60
2024-07-19 22:07:40,21.77,62.04,1006.63
2024-07-19 22:07:42,21.78,61.89,1006.61
2024-07-19 22:07:45,21.78,62.10,1006.63
2024-07-19 22:07:47,21.78,61.92,1006.60
2024-07-19 22:07:49,21.79,61.92,1006.62
2024-07-19 22:07:51,21.79,61.82,1006.62
2024-07-19 22:07:53,21.79,61.98,1006.63
2024-07-19 22:07:55,21.79,61.98,1006.61
2024-07-19 22:07:57,21.78,61.81,1006.58
2024-07-19 22:08:00,21.79,61.95,1006.63
2024-07-19 22:08:02,21.79,61.76,1006.60
2024-07-19 22:08:04,21.79,61.90,1006.61
2024-07-19 22:08:06,21.79,62.03,1006.62
2024-07-19 22:08:08,21.78,61.84,1006.59
2024-07-19 22:08:10,21.80,61.81,1006.61
2024-07-19 22:08:12,21.79,61.82,1006.63
2024-07-19 22:08:14,21.79,61.91,1006.62
2024-07-19 22:08:17,21.79,61.86,1006.61
2024-07-19 22:08:19,21.79,61.90,1006.60
2024-07-19 22:08:21,21.79,62.11,1006.64
2024-07-19 22:08:23,21.78,61.94,1006.62
2024-07-19 22:08:25,21.79,62.01,1006.59
2024-07-19 22:08:27,21.79,61.89,1006.61
2024-07-19 22:08:29,21.80,62.06,1006.62
2024-07-19 22:08:32,21.79,61.90,1006.59
2024-07-19 22:08:34,21.79,61.93,1006.60
2024-07-19 22:08:36,21.79,61.98,1006.62
2024-07-19 22:08:38,21.80,61.91,1006.61
2024-07-19 22:08:40,21.79,62.08,1006.61
2024-07-19 22:08:42,21.79,62.06,1006.62
2024-07-19 22:08:44,21.79,62.05,1006.59
2024-07-19 22:08:46,21.80,62.10,1006.62
2024-07-19 22:08:49,21.80,62.07,1006.60
2024-07-19 22:08:51,21.79,62.16,1006.59
2024-07-19 22:08:53,21.81,62.22,1006.60
2024-07-19 22:08:55,21.81,62.16,1006.62
2024-07-19 22:08:57,21.80,62.26,1006.61
2024-07-19 22:08:59,21.80,62.19,1006.60
2024-07-19 22:09:01,21.80,62.15,1006.58
2024-07-19 22:09:03,21.79,61.97,1006.59
2024-07-19 22:09:06,21.79,62.16,1006.58
2024-07-19 22:09:08,21.79,62.50,1006.58
2024-07-19 22:09:10,21.80,62.25,1006.59
2024-07-19 22:09:12,21.80,62.26,1006.61
2024-07-19 22:09:14,21.81,62.34,1006.61
2024-07-19 22:09:16,21.80,62.15,1006.60
2024-07-19 22:09:18,21.80,62.18,1006.62
2024-07-19 22:09:21,21.81,62.22,1006.60
2024-07-19 22:09:23,21.81,62.02,1006.58
2024-07-19 22:09:25,21.81,62.10,1006.62
2024-07-19 22:09:27,21.80,62.03,1006.58
2024-07-19 22:09:29,21.80,62.01,1006.57
2024-07-19 22:09:31,21.80,61.97,1006.58
2024-07-19 22:09:33,21.80,61.97,1006.60
2024-07-19 22:09:35,21.81,62.20,1006.59
2024-07-19 22:09:38,21.80,62.20,1006.57
2024-07-19 22:09:40,21.80,62.16,1006.60
2024-07-19 22:09:42,21.82,62.21,1006.59
2024-07-19 22:09:44,21.81,62.04,1006.55
2024-07-19 22:09:46,21.81,62.18,1006.56
2024-07-19 22:09:48,21.81,62.04,1006.59
2024-07-19 22:09:50,21.82,62.16,1006.57
2024-07-19 22:09:53,21.81,61.93,1006.54
2024-07-19 22:09:55,21.81,61.91,1006.56
2024-07-19 22:09:57,21.81,61.98,1006.54
2024-07-19 22:09:59,21.81,62.07,1006.56
2024-07-19 22:10:01,21.81,61.96,1006.56
2024-07-19 22:10:03,21.81,62.06,1006.55
2024-07-19 22:10:05,21.81,61.98,1006.59
2024-07-19 22:10:07,21.81,62.16,1006.56
2024-07-19 22:10:10,21.80,61.88,1006.58
2024-07-19 22:10:12,21.81,61.97,1006.52
2024-07-19 22:10:14,21.81,62.10,1006.57
2024-07-19 22:10:16,21.81,62.07,1006.54
2024-07-19 22:10:18,21.81,61.97,1006.54
2024-07-19 22:10:20,21.81,62.28,1006.51
2024-07-19 22:10:22,21.81,62.21,1006.53
2024-07-19 22:10:24,21.81,62.24,1006.52
2024-07-19 22:10:27,21.81,62.19,1006.53
2024-07-19 22:10:29,21.81,61.92,1006.51
2024-07-19 22:10:31,21.81,61.83,1006.54
2024-07-19 22:10:33,21.82,62.04,1006.53
2024-07-19 22:10:35,21.81,61.89,1006.50
2024-07-19 22:10:37,21.82,61.67,1006.51
2024-07-19 22:10:39,21.81,61.91,1006.51
2024-07-19 22:10:42,21.81,61.96,1006.53
2024-07-19 22:10:44,21.81,61.76,1006.53
2024-07-19 22:10:46,21.82,61.87,1006.53
2024-07-19 22:10:48,21.80,61.77,1006.54
2024-07-19 22:10:50,21.81,62.03,1006.52
2024-07-19 22:10:52,21.81,62.11,1006.54
2024-07-19 22:10:54,21.81,62.16,1006.49
2024-07-19 22:10:56,21.81,62.23,1006.53
2024-07-19 22:10:59,21.81,61.93,1006.52
2024-07-19 22:11:01,21.82,61.98,1006.53
2024-07-19 22:11:03,21.82,62.05,1006.52
2024-07-19 22:11:05,21.81,62.06,1006.54
2024-07-19 22:11:07,21.82,62.02,1006.51
2024-07-19 22:11:09,21.82,61.99,1006.55
2024-07-19 22:11:11,21.81,62.09,1006.53
2024-07-19 22:11:14,21.81,62.10,1006.50
2024-07-19 22:11:16,21.81,62.15,1006.52
2024-07-19 22:11:18,21.82,62.11,1006.53
2024-07-19 22:11:20,21.81,62.16,1006.50
2024-07-19 22:11:22,21.82,62.04,1006.54
2024-07-19 22:11:24,21.81,62.26,1006.53
2024-07-19 22:11:26,21.81,62.35,1006.51
2024-07-19 22:11:28,21.82,62.24,1006.52
2024-07-19 22:11:31,21.82,62.26,1006.55
2024-07-19 22:11:33,21.82,62.30,1006.56
2024-07-19 22:11:35,21.82,62.23,1006.55
2024-07-19 22:11:37,21.81,61.96,1006.57
2024-07-19 22:11:39,21.82,62.07,1006.55
2024-07-19 22:11:41,21.82,62.17,1006.56
2024-07-19 22:11:43,21.81,62.07,1006.57
2024-07-19 22:11:46,21.81,61.95,1006.60
2024-07-19 22:11:48,21.81,62.23,1006.59
2024-07-19 22:11:50,21.82,62.24,1006.60
2024-07-19 22:11:52,21.81,62.30,1006.58
2024-07-19 22:11:54,21.81,62.30,1006.53
2024-07-19 22:11:56,21.82,62.10,1006.57
2024-07-19 22:11:58,21.82,62.11,1006.55
2024-07-19 22:12:00,21.82,62.19,1006.56
2024-07-19 22:12:03,21.81,62.14,1006.57
2024-07-19 22:12:05,21.81,62.18,1006.53
2024-07-19 22:12:07,21.82,62.27,1006.55
2024-07-19 22:12:09,21.82,62.21,1006.54
2024-07-19 22:12:11,21.82,62.10,1006.55
2024-07-19 22:12:13,21.82,62.24,1006.55
2024-07-19 22:12:15,21.82,62.00,1006.58
2024-07-19 22:12:17,21.82,62.37,1006.56
2024-07-19 22:12:20,21.82,61.90,1006.54
2024-07-19 22:12:22,21.81,62.01,1006.53
2024-07-19 22:12:24,21.81,62.16,1006.53
2024-07-19 22:12:26,21.81,62.15,1006.55
2024-07-19 22:12:28,21.81,62.29,1006.58
2024-07-19 22:12:30,21.81,62.27,1006.52
2024-07-19 22:12:32,21.81,62.28,1006.52
2024-07-19 22:12:35,21.81,62.42,1006.54
2024-07-19 22:12:37,21.80,62.43,1006.54
2024-07-19 22:12:39,21.80,62.19,1006.56
2024-07-19 22:12:41,21.80,62.23,1006.55
2024-07-19 22:12:43,21.81,62.04,1006.55
2024-07-19 22:12:45,21.81,61.94,1006.53
2024-07-19 22:12:47,21.80,62.22,1006.54
2024-07-19 22:12:49,21.81,62.22,1006.52
2024-07-19 22:12:52,21.81,62.11,1006.54
2024-07-19 22:12:54,21.81,62.32,1006.53
2024-07-19 22:12:56,21.81,62.25,1006.54
2024-07-19 22:12:58,21.81,62.08,1006.53
2024-07-19 22:13:00,21.80,62.05,1006.53
2024-07-19 22:13:02,21.80,61.95,1006.52
2024-07-19 22:13:04,21.80,61.92,1006.53
2024-07-19 22:13:07,21.81,62.12,1006.55
2024-07-19 22:13:09,21.81,62.10,1006.53
2024-07-19 22:13:11,21.82,62.08,1006.53
2024-07-19 22:13:13,21.81,62.09,1006.56
2024-07-19 22:13:15,21.81,61.88,1006.54
2024-07-19 22:13:17,21.82,62.09,1006.53
2024-07-19 22:13:19,21.82,62.00,1006.53
2024-07-19 22:13:21,21.81,62.03,1006.53
2024-07-19 22:13:24,21.80,61.96,1006.56
2024-07-19 22:13:26,21.80,62.01,1006.55
2024-07-19 22:13:28,21.81,61.90,1006.57
2024-07-19 22:13:30,21.80,61.85,1006.56
2024-07-19 22:13:32,21.80,61.94,1006.55
2024-07-19 22:13:34,21.80,61.88,1006.55
2024-07-19 22:13:36,21.80,61.88,1006.56
2024-07-19 22:13:38,21.80,62.02,1006.55
2024-07-19 22:13:41,21.80,62.01,1006.51
2024-07-19 22:13:43,21.80,62.00,1006.52
2024-07-19 22:13:45,21.79,62.04,1006.54
2024-07-19 22:13:47,21.79,62.32,1006.55
2024-07-19 22:13:49,21.79,62.45,1006.55
2024-07-19 22:13:51,21.80,62.37,1006.54
2024-07-19 22:13:53,21.80,62.46,1006.52
2024-07-19 22:13:56,21.79,62.41,1006.53
2024-07-19 22:13:58,21.81,62.49,1006.54
2024-07-19 22:14:00,21.80,62.50,1006.53
2024-07-19 22:14:02,21.81,62.44,1006.54
2024-07-19 22:14:04,21.80,62.42,1006.55
2024-07-19 22:14:06,21.79,62.55,1006.54
2024-07-19 22:14:08,21.80,62.29,1006.52
2024-07-19 22:14:10,21.79,62.20,1006.55
2024-07-19 22:14:13,21.79,62.10,1006.55
2024-07-19 22:14:15,21.80,62.06,1006.55
2024-07-19 22:14:17,21.80,62.12,1006.54
2024-07-19 22:14:19,21.79,62.11,1006.53
2024-07-19 22:14:21,21.80,62.06,1006.56
2024-07-19 22:14:23,21.80,62.11,1006.55
2024-07-19 22:14:25,21.81,62.08,1006.56
2024-07-19 22:14:28,21.81,61.93,1006.54
2024-07-19 22:14:30,21.80,62.02,1006.56
2024-07-19 22:14:32,21.80,62.13,1006.58
2024-07-19 22:14:34,21.81,61.91,1006.55
2024-07-19 22:14:36,21.80,61.93,1006.54
2024-07-19 22:14:38,21.80,61.98,1006.57
2024-07-19 22:14:40,21.81,62.10,1006.56
2024-07-19 22:14:42,21.80,62.16,1006.60
2024-07-19 22:14:45,21.81,62.21,1006.58
2024-07-19 22:14:47,21.81,62.08,1006.55
2024-07-19 22:14:49,21.81,61.97,1006.57
2024-07-19 22:14:51,21.81,62.16,1006.54
2024-07-19 22:14:53,21.81,62.01,1006.54
2024-07-19 22:14:55,21.81,62.16,1006.56
2024-07-19 22:14:57,21.81,61.96,1006.56
2024-07-19 22:14:59,21.81,62.11,1006.56
2024-07-19 22:15:02,21.81,62.07,1006.57
2024-07-19 22:15:04,21.80,61.92,1006.58
2024-07-19 22:15:06,21.81,62.01,1006.57
2024-07-19 22:15:08,21.81,62.04,1006.56
2024-07-19 22:15:10,21.82,62.07,1006.56
2024-07-19 22:15:12,21.81,62.14,1006.54
2024-07-19 22:15:14,21.81,62.01,1006.54
2024-07-19 22:15:17,21.81,61.91,1006.55
2024-07-19 22:15:19,21.81,61.89,1006.59
2024-07-19 22:15:21,21.80,62.04,1006.60
2024-07-19 22:15:23,21.80,62.21,1006.58
