Timestamp, Temperature(C), Humidity(%),Pressure(hPa)
2024-07-20 10:22:57,22.34,56.19,1001.75
2024-07-20 10:22:59,22.34,55.94,1001.72
2024-07-20 10:23:01,22.34,55.84,1001.70
2024-07-20 10:23:03,22.34,55.82,1001.70
2024-07-20 10:23:05,22.34,55.68,1001.71
2024-07-20 10:23:07,22.34,55.95,1001.72
2024-07-20 10:23:10,22.35,55.91,1001.75
2024-07-20 10:23:12,22.34,55.76,1001.72
2024-07-20 10:23:14,22.35,55.74,1001.73
2024-07-20 10:23:16,22.34,56.02,1001.75
2024-07-20 10:23:18,22.34,55.98,1001.76
2024-07-20 10:23:20,22.34,56.04,1001.71
2024-07-20 10:23:22,22.34,56.16,1001.72
2024-07-20 10:23:25,22.34,56.35,1001.74
2024-07-20 10:23:27,22.35,56.17,1001.73
2024-07-20 10:23:29,22.35,56.43,1001.72
2024-07-20 10:23:31,22.43,57.49,1001.68
2024-07-20 10:23:33,22.59,60.20,1001.67
2024-07-20 10:23:35,22.57,58.38,1001.63
2024-07-20 10:23:37,22.59,57.05,1001.67
2024-07-20 10:23:39,22.55,55.54,1001.64
2024-07-20 10:23:42,22.56,55.58,1001.67
2024-07-20 10:23:44,22.68,55.24,1001.73
2024-07-20 10:23:46,22.75,54.25,1001.73
2024-07-20 10:23:48,22.86,53.50,1001.71
2024-07-20 10:23:50,22.79,51.77,1001.75
2024-07-20 10:23:52,22.77,51.77,1001.85
2024-07-20 10:23:54,22.74,51.81,1001.79
2024-07-20 10:23:57,22.77,51.31,1001.77
2024-07-20 10:23:59,22.80,51.16,1001.78
2024-07-20 10:24:01,22.83,51.37,1001.78
2024-07-20 10:24:03,22.79,51.66,1001.80
2024-07-20 10:24:05,22.83,51.42,1001.81
2024-07-20 10:24:07,22.84,51.19,1001.78
2024-07-20 10:24:09,22.88,51.10,1001.76
2024-07-20 10:24:11,22.93,51.28,1001.78
2024-07-20 10:24:14,22.97,51.39,1001.79
2024-07-20 10:24:16,23.00,51.12,1001.82
2024-07-20 10:24:18,23.04,51.29,1001.79
2024-07-20 10:24:20,23.09,51.09,1001.80
2024-07-20 10:24:22,23.15,50.80,1001.78
2024-07-20 10:24:24,23.17,51.75,1001.78
2024-07-20 10:24:26,23.23,51.07,1001.83
2024-07-20 10:24:28,23.23,51.67,1001.80
2024-07-20 10:24:31,23.24,51.47,1001.81
2024-07-20 10:24:33,23.27,51.40,1001.86
2024-07-20 10:24:35,23.26,51.96,1001.84
2024-07-20 10:24:37,23.25,51.50,1001.85
2024-07-20 10:24:39,23.25,51.72,1001.85
2024-07-20 10:24:41,23.21,51.08,1001.81
2024-07-20 10:24:43,23.18,50.82,1001.79
2024-07-20 10:24:46,23.15,50.62,1001.76
2024-07-20 10:24:48,23.12,50.65,1001.79
2024-07-20 10:24:50,23.10,50.97,1001.80
2024-07-20 10:24:52,23.09,50.92,1001.85
2024-07-20 10:24:54,23.04,50.49,1001.76
2024-07-20 10:24:56,22.86,50.09,1001.75
2024-07-20 10:24:58,22.82,50.66,1001.77
2024-07-20 10:25:00,22.76,50.76,1001.78
2024-07-20 10:25:03,22.69,50.79,1001.82
2024-07-20 10:25:05,22.63,50.87,1001.78
2024-07-20 10:25:07,22.60,51.14,1001.80
2024-07-20 10:25:09,22.58,51.41,1001.81
2024-07-20 10:25:11,22.61,51.64,1001.81
2024-07-20 10:25:13,22.67,51.72,1001.82
2024-07-20 10:25:15,22.66,51.44,1001.82
2024-07-20 10:25:18,22.63,51.45,1001.81
2024-07-20 10:25:20,22.62,51.27,1001.74
2024-07-20 10:25:22,22.60,51.22,1001.82
2024-07-20 10:25:24,22.64,51.57,1001.79
2024-07-20 10:25:26,22.61,51.71,1001.78
2024-07-20 10:25:28,22.51,51.33,1001.84
2024-07-20 10:25:30,22.49,51.13,1001.81
2024-07-20 10:25:32,22.40,51.47,1001.84
2024-07-20 10:25:35,22.40,51.62,1001.84
2024-07-20 10:25:37,22.47,51.98,1001.79
2024-07-20 10:25:39,22.50,51.52,1001.83
2024-07-20 10:25:41,22.53,51.28,1001.78
2024-07-20 10:25:43,22.55,51.24,1001.72
2024-07-20 10:25:45,22.54,51.17,1001.72
2024-07-20 10:25:47,22.48,51.55,1001.76
2024-07-20 10:25:49,22.48,51.47,1001.76
2024-07-20 10:25:52,22.47,51.77,1001.76
2024-07-20 10:25:54,22.40,51.85,1001.81
2024-07-20 10:25:56,22.37,51.59,1001.82
2024-07-20 10:25:58,22.41,51.64,1001.79
2024-07-20 10:26:00,22.40,51.73,1001.83
2024-07-20 10:26:02,22.41,51.02,1001.80
2024-07-20 10:26:04,22.44,51.25,1001.81
2024-07-20 10:26:07,22.41,51.25,1001.83
2024-07-20 10:26:09,22.36,51.03,1001.81
2024-07-20 10:26:11,22.37,51.43,1001.80
2024-07-20 10:26:13,22.38,51.49,1001.80
2024-07-20 10:26:15,22.38,51.77,1001.80
2024-07-20 10:26:17,22.40,51.54,1001.80
2024-07-20 10:26:19,22.47,51.59,1001.81
2024-07-20 10:26:21,22.44,51.94,1001.81
2024-07-20 10:26:24,22.46,51.77,1001.84
2024-07-20 10:26:26,22.50,51.68,1001.82
2024-07-20 10:26:28,22.53,51.00,1001.78
2024-07-20 10:26:30,22.55,50.94,1001.76
2024-07-20 10:26:32,22.62,50.36,1001.79
2024-07-20 10:26:34,22.67,50.08,1001.81
2024-07-20 10:26:36,22.60,50.40,1001.74
2024-07-20 10:26:39,22.60,50.72,1001.79
2024-07-20 10:26:41,22.63,50.87,1001.79
2024-07-20 10:26:43,22.64,51.36,1001.78
2024-07-20 10:26:45,22.66,51.47,1001.80
2024-07-20 10:26:47,22.67,51.05,1001.78
2024-07-20 10:26:49,22.67,50.88,1001.77
2024-07-20 10:26:51,22.64,51.05,1001.79
2024-07-20 10:26:53,22.69,51.31,1001.77
2024-07-20 10:26:56,22.67,51.11,1001.75
2024-07-20 10:26:58,22.69,50.74,1001.78
2024-07-20 10:27:00,22.64,51.26,1001.72
2024-07-20 10:27:02,22.63,51.08,1001.74
2024-07-20 10:27:04,22.60,51.67,1001.73
2024-07-20 10:27:06,22.62,51.23,1001.76
2024-07-20 10:27:08,22.64,50.98,1001.76
2024-07-20 10:27:10,22.67,50.89,1001.74
2024-07-20 10:27:13,22.68,51.15,1001.74
2024-07-20 10:27:15,22.68,50.70,1001.75
2024-07-20 10:27:17,22.71,50.48,1001.77
2024-07-20 10:27:19,22.71,50.51,1001.77
2024-07-20 10:27:21,22.72,50.35,1001.76
2024-07-20 10:27:23,22.76,50.25,1001.76
2024-07-20 10:27:25,22.77,50.33,1001.75
2024-07-20 10:27:28,22.81,50.23,1001.75
2024-07-20 10:27:30,22.81,50.12,1001.75
2024-07-20 10:27:32,22.85,50.29,1001.73
2024-07-20 10:27:34,22.85,50.34,1001.75
2024-07-20 10:27:36,22.85,50.67,1001.74
2024-07-20 10:27:38,22.84,51.03,1001.73
2024-07-20 10:27:40,22.85,51.22,1001.74
2024-07-20 10:27:42,22.88,50.70,1001.70
2024-07-20 10:27:45,22.85,51.10,1001.72
2024-07-20 10:27:47,22.82,51.09,1001.77
2024-07-20 10:27:49,22.74,50.76,1001.74
2024-07-20 10:27:51,22.73,50.94,1001.75
2024-07-20 10:27:53,22.71,51.00,1001.73
2024-07-20 10:27:55,22.63,50.90,1001.71
2024-07-20 10:27:57,22.67,50.96,1001.72
2024-07-20 10:28:00,22.71,51.10,1001.76
2024-07-20 10:28:02,22.74,51.10,1001.74
2024-07-20 10:28:04,22.78,51.54,1001.70
2024-07-20 10:28:06,22.76,51.11,1001.73
2024-07-20 10:28:08,22.77,50.68,1001.74
2024-07-20 10:28:10,22.75,51.05,1001.74
2024-07-20 10:28:12,22.78,50.76,1001.70
2024-07-20 10:28:14,22.82,50.60,1001.74
2024-07-20 10:28:17,22.86,50.50,1001.74
2024-07-20 10:28:19,22.87,50.34,1001.73
2024-07-20 10:28:21,22.86,50.56,1001.74
2024-07-20 10:28:23,22.91,50.84,1001.73
2024-07-20 10:28:25,22.95,50.63,1001.72
2024-07-20 10:28:27,22.99,50.65,1001.72
2024-07-20 10:28:29,23.04,51.15,1001.73
2024-07-20 10:28:31,23.06,51.29,1001.71
2024-07-20 10:28:34,23.06,51.10,1001.76
2024-07-20 10:28:36,23.06,50.44,1001.73
2024-07-20 10:28:38,23.05,50.34,1001.74
2024-07-20 10:28:40,23.05,50.25,1001.73
2024-07-20 10:28:42,23.05,49.81,1001.74
2024-07-20 10:28:44,23.09,50.77,1001.69
2024-07-20 10:28:46,23.09,51.65,1001.70
2024-07-20 10:28:49,23.06,51.28,1001.72
2024-07-20 10:28:51,23.01,50.42,1001.73
2024-07-20 10:28:53,23.00,50.19,1001.75
2024-07-20 10:28:55,22.98,50.64,1001.72
2024-07-20 10:28:57,23.00,50.74,1001.70
2024-07-20 10:28:59,23.03,50.20,1001.71
2024-07-20 10:29:01,23.08,50.66,1001.74
2024-07-20 10:29:03,23.06,50.65,1001.69
2024-07-20 10:29:06,22.97,50.20,1001.72
2024-07-20 10:29:08,22.92,50.26,1001.73
2024-07-20 10:29:10,22.96,50.26,1001.68
2024-07-20 10:29:12,22.99,50.15,1001.68
2024-07-20 10:29:14,23.01,50.03,1001.67
2024-07-20 10:29:16,23.00,51.05,1001.72
2024-07-20 10:29:18,23.01,50.95,1001.73
2024-07-20 10:29:21,22.99,51.54,1001.71
2024-07-20 10:29:23,23.00,51.42,1001.70
2024-07-20 10:29:25,23.06,51.10,1001.69
2024-07-20 10:29:27,23.05,50.88,1001.67
2024-07-20 10:29:29,23.07,51.15,1001.70
2024-07-20 10:29:31,23.00,50.64,1001.67
2024-07-20 10:29:33,22.99,50.29,1001.69
2024-07-20 10:29:35,22.96,50.91,1001.70
2024-07-20 10:29:38,22.85,50.29,1001.71
2024-07-20 10:29:40,22.86,50.93,1001.71
2024-07-20 10:29:42,22.81,50.86,1001.74
2024-07-20 10:29:44,22.79,51.15,1001.73
2024-07-20 10:29:46,22.74,51.31,1001.71
2024-07-20 10:29:48,22.71,50.78,1001.72
2024-07-20 10:29:50,22.67,51.27,1001.72
2024-07-20 10:29:52,22.65,50.87,1001.71
2024-07-20 10:29:55,22.75,50.72,1001.73
2024-07-20 10:29:57,22.75,50.80,1001.71
2024-07-20 10:29:59,22.73,50.83,1001.71
2024-07-20 10:30:01,22.75,50.88,1001.72
2024-07-20 10:30:03,22.78,51.09,1001.71
2024-07-20 10:30:05,22.76,50.99,1001.73
2024-07-20 10:30:07,22.78,51.14,1001.71
2024-07-20 10:30:10,22.78,51.50,1001.71
2024-07-20 10:30:12,22.78,51.54,1001.70
2024-07-20 10:30:14,22.81,51.35,1001.70
2024-07-20 10:30:16,22.88,51.24,1001.70
2024-07-20 10:30:18,22.89,51.06,1001.71
2024-07-20 10:30:20,22.92,50.83,1001.69
2024-07-20 10:30:22,22.94,51.06,1001.68
2024-07-20 10:30:24,23.02,51.21,1001.68
2024-07-20 10:30:27,23.04,51.02,1001.68
2024-07-20 10:30:29,23.06,51.33,1001.67
2024-07-20 10:30:31,23.09,50.96,1001.67
2024-07-20 10:30:33,23.01,51.03,1001.72
2024-07-20 10:30:35,22.92,50.80,1001.68
2024-07-20 10:30:37,22.86,50.82,1001.72
2024-07-20 10:30:39,22.80,50.31,1001.73
2024-07-20 10:30:41,22.76,50.24,1001.74
2024-07-20 10:30:44,22.78,50.44,1001.74
2024-07-20 10:30:46,22.77,50.30,1001.74
2024-07-20 10:30:48,22.73,50.75,1001.71
2024-07-20 10:30:50,22.70,50.55,1001.70
2024-07-20 10:30:52,22.71,50.57,1001.70
2024-07-20 10:30:54,22.62,50.10,1001.72
2024-07-20 10:30:56,22.61,49.76,1001.67
2024-07-20 10:30:59,22.59,50.55,1001.68
2024-07-20 10:31:01,22.58,50.67,1001.64
2024-07-20 10:31:03,22.56,50.11,1001.66
2024-07-20 10:31:05,22.50,49.93,1001.66
2024-07-20 10:31:07,22.52,49.99,1001.65
2024-07-20 10:31:09,22.50,49.95,1001.67
2024-07-20 10:31:11,22.54,50.10,1001.67
2024-07-20 10:31:13,22.57,50.31,1001.63
2024-07-20 10:31:16,22.56,50.48,1001.68
2024-07-20 10:31:18,22.55,50.72,1001.64
2024-07-20 10:31:20,22.53,50.80,1001.66
2024-07-20 10:31:22,22.47,50.58,1001.70
2024-07-20 10:31:24,22.52,49.92,1001.63
2024-07-20 10:31:26,22.49,50.22,1001.65
2024-07-20 10:31:28,22.39,50.00,1001.60
2024-07-20 10:31:31,22.36,50.25,1001.64
2024-07-20 10:31:33,22.34,50.57,1001.67
2024-07-20 10:31:35,22.28,50.74,1001.69
2024-07-20 10:31:37,22.28,50.90,1001.67
2024-07-20 10:31:39,22.33,51.22,1001.69
2024-07-20 10:31:41,22.32,50.93,1001.73
2024-07-20 10:31:43,22.32,50.55,1001.71
2024-07-20 10:31:45,22.28,51.63,1001.67
2024-07-20 10:31:48,22.26,52.03,1001.67
2024-07-20 10:31:50,22.27,51.95,1001.65
2024-07-20 10:31:52,22.36,52.01,1001.69
2024-07-20 10:31:54,22.34,51.28,1001.67
2024-07-20 10:31:56,22.37,50.76,1001.67
2024-07-20 10:31:58,22.39,50.70,1001.69
2024-07-20 10:32:00,22.47,50.47,1001.72
2024-07-20 10:32:02,22.45,50.50,1001.68
2024-07-20 10:32:05,22.48,50.80,1001.65
2024-07-20 10:32:07,22.52,51.31,1001.63
2024-07-20 10:32:09,22.48,50.38,1001.64
2024-07-20 10:32:11,22.40,50.55,1001.71
2024-07-20 10:32:13,22.38,50.56,1001.67
2024-07-20 10:32:15,22.40,50.49,1001.65
2024-07-20 10:32:17,22.49,50.40,1001.62
2024-07-20 10:32:20,22.49,50.63,1001.66
2024-07-20 10:32:22,22.50,51.16,1001.66
2024-07-20 10:32:24,22.56,50.41,1001.64
2024-07-20 10:32:26,22.54,51.14,1001.65
2024-07-20 10:32:28,22.57,51.32,1001.66
2024-07-20 10:32:30,22.55,51.16,1001.66
2024-07-20 10:32:32,22.60,50.91,1001.68
2024-07-20 10:32:34,22.62,50.38,1001.65
2024-07-20 10:32:37,22.58,50.45,1001.63
2024-07-20 10:32:39,22.63,50.30,1001.65
2024-07-20 10:32:41,22.67,50.16,1001.68
2024-07-20 10:32:43,22.66,49.80,1001.69
2024-07-20 10:32:45,22.63,49.84,1001.65
2024-07-20 10:32:47,22.66,50.11,1001.65
2024-07-20 10:32:49,22.71,50.28,1001.68
2024-07-20 10:32:52,22.67,50.04,1001.70
2024-07-20 10:32:54,22.71,50.59,1001.68
2024-07-20 10:32:56,22.70,50.49,1001.72
2024-07-20 10:32:58,22.78,50.02,1001.67
2024-07-20 10:33:00,22.80,50.08,1001.66
2024-07-20 10:33:02,22.85,50.48,1001.70
2024-07-20 10:33:04,22.82,50.61,1001.65
2024-07-20 10:33:06,22.79,51.10,1001.62
2024-07-20 10:33:09,22.85,50.56,1001.67
2024-07-20 10:33:11,22.87,50.15,1001.63
2024-07-20 10:33:13,22.91,50.05,1001.72
2024-07-20 10:33:15,22.99,50.05,1001.68
2024-07-20 10:33:17,23.06,50.00,1001.64
2024-07-20 10:33:19,23.05,49.66,1001.64
2024-07-20 10:33:21,23.06,50.30,1001.65
2024-07-20 10:33:23,23.08,50.88,1001.64
2024-07-20 10:33:26,23.06,51.04,1001.66
2024-07-20 10:33:28,23.09,50.72,1001.62
2024-07-20 10:33:30,23.05,50.62,1001.64
2024-07-20 10:33:32,23.02,50.27,1001.64
2024-07-20 10:33:34,23.04,49.91,1001.65
2024-07-20 10:33:36,23.07,49.73,1001.69
2024-07-20 10:33:38,23.06,50.00,1001.65
2024-07-20 10:33:41,23.03,49.83,1001.72
2024-07-20 10:33:43,22.94,49.83,1001.69
2024-07-20 10:33:45,22.94,50.40,1001.66
2024-07-20 10:33:47,22.88,50.89,1001.66
2024-07-20 10:33:49,22.85,50.26,1001.67
2024-07-20 10:33:51,22.82,50.42,1001.66
2024-07-20 10:33:53,22.74,50.65,1001.68
2024-07-20 10:33:55,22.68,50.59,1001.70
2024-07-20 10:33:58,22.65,50.54,1001.66
2024-07-20 10:34:00,22.65,50.73,1001.63
2024-07-20 10:34:02,22.66,50.99,1001.66
2024-07-20 10:34:04,22.64,50.97,1001.60
2024-07-20 10:34:06,22.63,50.97,1001.63
2024-07-20 10:34:08,22.59,50.17,1001.60
2024-07-20 10:34:10,22.57,50.11,1001.59
2024-07-20 10:34:13,22.53,50.13,1001.62
2024-07-20 10:34:15,22.53,50.07,1001.60
2024-07-20 10:34:17,22.49,50.18,1001.61
2024-07-20 10:34:19,22.55,50.12,1001.63
2024-07-20 10:34:21,22.62,50.12,1001.60
2024-07-20 10:34:23,22.66,50.28,1001.64
2024-07-20 10:34:25,22.66,50.39,1001.65
2024-07-20 10:34:27,22.55,50.48,1001.63
2024-07-20 10:34:30,22.42,50.28,1001.61
2024-07-20 10:34:32,22.39,50.52,1001.63
2024-07-20 10:34:34,22.49,50.97,1001.63
2024-07-20 10:34:36,22.44,50.80,1001.64
2024-07-20 10:34:38,22.55,51.23,1001.62
2024-07-20 10:34:40,22.62,51.35,1001.64
2024-07-20 10:34:42,22.66,51.52,1001.64
2024-07-20 10:34:44,22.73,51.36,1001.65
2024-07-20 10:34:47,22.80,51.35,1001.65
2024-07-20 10:34:49,22.78,50.79,1001.64
2024-07-20 10:34:51,22.77,50.88,1001.63
2024-07-20 10:34:53,22.83,50.42,1001.63
2024-07-20 10:34:55,22.84,49.90,1001.59
2024-07-20 10:34:57,22.87,49.65,1001.57
2024-07-20 10:34:59,22.87,49.99,1001.62
2024-07-20 10:35:02,22.89,49.62,1001.60
2024-07-20 10:35:04,22.95,50.15,1001.64
2024-07-20 10:35:06,22.98,50.27,1001.65
2024-07-20 10:35:08,22.92,49.81,1001.62
2024-07-20 10:35:10,22.95,49.65,1001.63
2024-07-20 10:35:12,22.97,49.79,1001.65
2024-07-20 10:35:14,23.00,49.94,1001.62
2024-07-20 10:35:16,22.99,50.27,1001.61
2024-07-20 10:35:19,22.97,49.96,1001.58
2024-07-20 10:35:21,22.97,50.24,1001.60
2024-07-20 10:35:23,22.98,49.95,1001.60
2024-07-20 10:35:25,22.98,50.36,1001.61
2024-07-20 10:35:27,22.98,50.51,1001.59
2024-07-20 10:35:29,23.00,50.51,1001.59
2024-07-20 10:35:31,22.99,50.49,1001.65
2024-07-20 10:35:33,23.01,50.37,1001.64
2024-07-20 10:35:36,23.05,51.04,1001.59
2024-07-20 10:35:38,23.00,50.56,1001.63
2024-07-20 10:35:40,23.00,50.58,1001.68
2024-07-20 10:35:42,23.01,50.10,1001.63
2024-07-20 10:35:44,22.97,49.78,1001.64
2024-07-20 10:35:46,22.97,49.89,1001.65
2024-07-20 10:35:48,23.00,50.09,1001.59
2024-07-20 10:35:51,22.95,50.08,1001.65
2024-07-20 10:35:53,22.96,50.10,1001.64
2024-07-20 10:35:55,22.87,50.07,1001.62
2024-07-20 10:35:57,22.78,50.30,1001.64
2024-07-20 10:35:59,22.71,50.33,1001.66
2024-07-20 10:36:01,22.66,50.43,1001.69
2024-07-20 10:36:03,22.71,50.45,1001.66
2024-07-20 10:36:05,22.68,50.16,1001.63
2024-07-20 10:36:08,22.69,50.43,1001.67
2024-07-20 10:36:10,22.67,51.10,1001.66
2024-07-20 10:36:12,22.67,50.58,1001.67
2024-07-20 10:36:14,22.69,50.77,1001.62
2024-07-20 10:36:16,22.64,50.84,1001.65
2024-07-20 10:36:18,22.67,50.86,1001.66
2024-07-20 10:36:20,22.67,51.14,1001.69
2024-07-20 10:36:23,22.67,50.79,1001.65
2024-07-20 10:36:25,22.70,50.68,1001.66
2024-07-20 10:36:27,22.75,50.41,1001.66
2024-07-20 10:36:29,22.66,50.69,1001.64
2024-07-20 10:36:31,22.69,50.44,1001.66
2024-07-20 10:36:33,22.73,50.35,1001.67
2024-07-20 10:36:35,22.79,50.22,1001.66
2024-07-20 10:36:37,22.83,50.10,1001.66
2024-07-20 10:36:40,22.85,50.09,1001.66
2024-07-20 10:36:42,22.84,50.77,1001.66
2024-07-20 10:36:44,22.82,50.49,1001.65
2024-07-20 10:36:46,22.80,50.30,1001.66
2024-07-20 10:36:48,22.84,50.23,1001.65
2024-07-20 10:36:50,22.89,50.62,1001.65
2024-07-20 10:36:52,22.97,50.97,1001.67
2024-07-20 10:36:54,23.00,50.56,1001.71
2024-07-20 10:36:57,23.06,50.44,1001.63
2024-07-20 10:36:59,23.09,50.45,1001.68
2024-07-20 10:37:01,23.02,50.66,1001.65
2024-07-20 10:37:03,23.08,50.33,1001.67
2024-07-20 10:37:05,23.09,50.51,1001.66
2024-07-20 10:37:07,23.00,49.97,1001.65
2024-07-20 10:37:09,22.94,49.84,1001.69
2024-07-20 10:37:12,22.96,49.83,1001.70
2024-07-20 10:37:14,22.94,50.18,1001.70
2024-07-20 10:37:16,22.99,50.41,1001.68
2024-07-20 10:37:18,23.04,50.48,1001.71
2024-07-20 10:37:20,23.12,50.21,1001.69
2024-07-20 10:37:22,23.09,50.40,1001.68
2024-07-20 10:37:24,23.01,49.79,1001.68
2024-07-20 10:37:26,23.10,50.11,1001.67
2024-07-20 10:37:29,23.12,50.00,1001.66
2024-07-20 10:37:31,23.16,49.30,1001.65
2024-07-20 10:37:33,23.18,49.50,1001.64
2024-07-20 10:37:35,23.20,49.89,1001.61
2024-07-20 10:37:37,23.25,49.80,1001.67
2024-07-20 10:37:39,23.31,49.48,1001.69
2024-07-20 10:37:41,23.40,49.40,1001.68
2024-07-20 10:37:44,23.42,49.06,1001.65
2024-07-20 10:37:46,23.44,49.77,1001.65
2024-07-20 10:37:48,23.45,50.02,1001.69
2024-07-20 10:37:50,23.49,49.64,1001.65
2024-07-20 10:37:52,23.49,50.36,1001.68
2024-07-20 10:37:54,23.49,49.91,1001.70
2024-07-20 10:37:56,23.50,49.54,1001.70
2024-07-20 10:37:58,23.49,49.06,1001.67
2024-07-20 10:38:01,23.50,49.17,1001.71
2024-07-20 10:38:03,23.46,49.00,1001.65
2024-07-20 10:38:05,23.38,49.31,1001.65
2024-07-20 10:38:07,23.23,49.07,1001.67
2024-07-20 10:38:09,23.18,49.27,1001.67
2024-07-20 10:38:11,23.10,49.51,1001.64
