Timestamp, Temperature(C), Humidity(%),Pressure(hPa)
2024-07-20 10:40:36,23.04,49.72,1001.62
2024-07-20 10:41:36,22.68,49.57,1001.60
2024-07-20 10:42:36,22.62,49.79,1001.65
2024-07-20 10:43:37,22.64,49.71,1001.67
2024-07-20 10:44:37,22.82,49.13,1001.60
2024-07-20 10:45:37,23.15,48.67,1001.59
2024-07-20 10:46:37,23.13,48.77,1001.64
2024-07-20 10:47:37,23.51,48.09,1001.56
2024-07-20 10:48:38,24.14,47.46,1001.53
2024-07-20 10:49:38,23.82,46.83,1001.54
2024-07-20 10:50:38,24.14,46.32,1001.50
2024-07-20 10:51:38,23.70,47.97,1001.52
2024-07-20 10:52:38,23.70,47.38,1001.50
2024-07-20 10:53:39,23.69,47.13,1001.49
2024-07-20 10:54:39,23.50,48.65,1001.52
2024-07-20 10:55:39,23.76,47.76,1001.49
2024-07-20 10:56:39,23.51,47.09,1001.52
2024-07-20 10:57:39,23.46,48.96,1001.49
2024-07-20 10:58:39,23.77,47.55,1001.48
2024-07-20 10:59:40,23.60,47.65,1001.47
2024-07-20 11:00:40,23.83,46.84,1001.40
2024-07-20 11:01:40,23.62,48.16,1001.47
2024-07-20 11:02:40,24.15,47.43,1001.44
2024-07-20 11:03:40,23.95,47.09,1001.48
2024-07-20 11:04:41,23.71,47.16,1001.47
2024-07-20 11:05:41,23.84,46.49,1001.43
2024-07-20 11:06:41,24.14,47.66,1001.40
2024-07-20 11:07:41,24.54,46.75,1001.40
2024-07-20 11:08:41,24.35,45.88,1001.38
2024-07-20 11:09:42,23.86,46.06,1001.37
2024-07-20 11:10:42,23.89,46.57,1001.34
2024-07-20 11:11:42,24.08,46.58,1001.35
2024-07-20 11:12:42,23.92,46.72,1001.36
2024-07-20 11:13:42,23.94,46.60,1001.42
2024-07-20 11:14:43,23.89,45.54,1001.37
2024-07-20 11:15:43,23.74,46.98,1001.40
2024-07-20 11:16:43,23.98,47.18,1001.37
2024-07-20 11:17:43,24.19,45.99,1001.36
2024-07-20 11:18:43,24.16,46.15,1001.35
2024-07-20 11:19:43,24.08,47.60,1001.33
2024-07-20 11:20:44,24.82,46.10,1001.22
2024-07-20 11:21:44,24.79,46.55,1001.26
2024-07-20 11:22:44,24.44,46.53,1001.27
2024-07-20 11:23:44,24.31,46.56,1001.28
2024-07-20 11:24:44,24.05,46.02,1001.27
2024-07-20 11:25:45,23.75,46.60,1001.31
2024-07-20 11:26:45,23.95,46.80,1001.24
2024-07-20 11:27:45,24.19,46.68,1001.23
2024-07-20 11:28:45,24.10,46.07,1001.23
2024-07-20 11:29:45,24.21,45.79,1001.14
2024-07-20 11:30:46,24.57,46.17,1001.20
2024-07-20 11:31:46,24.85,44.93,1001.13
2024-07-20 11:32:46,24.42,45.82,1001.13
2024-07-20 11:33:46,24.62,45.44,1001.14
2024-07-20 11:34:46,25.26,45.02,1001.13
2024-07-20 11:35:47,24.65,44.65,1001.11
2024-07-20 11:36:47,24.98,45.58,1001.08
2024-07-20 11:37:47,25.37,43.85,1001.08
2024-07-20 11:38:47,25.58,43.55,1001.08
2024-07-20 11:39:47,26.51,43.31,1001.09
2024-07-20 11:40:47,27.00,44.33,1001.06
2024-07-20 11:41:48,25.58,46.74,1001.09
2024-07-20 11:42:48,25.94,43.42,1001.07
2024-07-20 11:43:48,26.11,43.83,1001.00
2024-07-20 11:44:48,26.48,44.36,1001.05
2024-07-20 11:45:48,26.55,43.38,1001.06
2024-07-20 11:46:49,26.73,43.33,1001.03
2024-07-20 11:47:49,26.76,42.40,1000.99
2024-07-20 11:48:49,25.66,45.06,1001.08
2024-07-20 11:49:49,25.45,43.73,1001.13
2024-07-20 11:50:49,26.02,43.32,1001.13
2024-07-20 11:51:50,26.45,42.57,1001.17
2024-07-20 11:52:50,26.00,41.91,1001.21
2024-07-20 11:53:50,26.51,41.62,1001.17
2024-07-20 11:54:50,26.29,43.32,1001.16
2024-07-20 11:55:50,26.31,43.14,1001.19
2024-07-20 11:56:50,26.41,41.83,1001.21
2024-07-20 11:57:51,26.83,40.14,1001.19
2024-07-20 11:58:51,28.27,38.26,1001.12
2024-07-20 11:59:51,28.21,39.05,1001.05
2024-07-20 12:00:51,28.11,38.06,1001.10
2024-07-20 12:01:51,28.19,38.23,1001.03
2024-07-20 12:02:52,29.57,37.50,1001.06
2024-07-20 12:03:52,27.68,36.45,1001.09
2024-07-20 12:04:52,27.68,36.92,1001.07
2024-07-20 12:05:52,28.11,35.59,1001.09
2024-07-20 12:06:52,28.63,36.15,1001.11
2024-07-20 12:07:53,27.65,35.90,1001.11
2024-07-20 12:08:53,28.38,34.91,1001.16
2024-07-20 12:09:53,27.56,36.18,1001.29
2024-07-20 12:10:53,27.60,36.90,1001.21
2024-07-20 12:11:53,27.78,35.14,1001.20
2024-07-20 12:12:54,27.52,35.55,1001.20
2024-07-20 12:13:54,26.62,37.08,1001.19
2024-07-20 12:14:54,26.98,36.66,1001.16
2024-07-20 12:15:54,27.05,36.37,1001.15
2024-07-20 12:16:54,27.05,36.61,1001.19
2024-07-20 12:17:54,28.03,36.02,1001.20
2024-07-20 12:18:55,26.53,37.30,1001.23
2024-07-20 12:19:55,27.49,35.24,1001.20
2024-07-20 12:20:55,29.79,34.29,1001.12
2024-07-20 12:21:55,29.71,33.51,1001.07
2024-07-20 12:22:55,29.26,34.18,1001.10
2024-07-20 12:23:56,28.58,35.42,1001.06
2024-07-20 12:24:56,28.85,35.08,1001.06
2024-07-20 12:25:56,28.10,37.86,1001.12
2024-07-20 12:26:56,28.68,35.62,1001.08
2024-07-20 12:27:56,29.75,34.90,1001.06
2024-07-20 12:28:57,29.97,33.63,1001.06
2024-07-20 12:29:57,30.14,33.55,1001.07
2024-07-20 12:30:57,29.20,34.68,1001.11
2024-07-20 12:31:57,28.69,35.24,1001.08
2024-07-20 12:32:57,28.38,35.86,1001.04
2024-07-20 12:33:57,28.53,36.60,1001.04
2024-07-20 12:34:58,28.29,36.58,1000.99
2024-07-20 12:35:58,29.22,34.49,1000.97
2024-07-20 12:36:58,29.80,33.74,1000.97
2024-07-20 12:37:58,29.94,34.65,1000.96
2024-07-20 12:38:58,28.42,35.80,1000.93
2024-07-20 12:39:59,27.18,37.07,1001.10
