Timestamp,UTC Time,Status,Latitude,Latitude Direction,Longitude,Longitude Direction,Speed,Track Angle,Date,Magnetic Variation
2024-07-21 13:48:43,134843.00,A,5556.44572,N,00315.14285,W,0.398,0.00,210724,0.00
2024-07-21 13:48:51,134844.00,A,5556.44514,N,00315.14315,W,0.367,0.00,210724,0.00
2024-07-21 13:48:59,134845.00,A,5556.44496,N,00315.14353,W,0.290,0.00,210724,0.00
2024-07-21 13:49:07,134846.00,A,5556.44457,N,00315.14377,W,0.273,0.00,210724,0.00
2024-07-21 13:49:15,134847.00,A,5556.44391,N,00315.14376,W,0.996,0.00,210724,0.00
2024-07-21 13:49:23,134848.00,A,5556.44337,N,00315.14370,W,0.665,0.00,210724,0.00
2024-07-21 13:49:31,134849.00,A,5556.44281,N,00315.14389,W,0.454,0.00,210724,0.00
2024-07-21 13:49:39,134850.00,A,5556.44197,N,00315.14412,W,0.782,0.00,210724,0.00
2024-07-21 13:49:47,134851.00,A,5556.44172,N,00315.14408,W,0.597,0.00,210724,0.00
2024-07-21 13:49:55,134852.00,A,5556.44151,N,00315.14409,W,0.410,0.00,210724,0.00
2024-07-21 13:50:03,134853.00,A,5556.44095,N,00315.14399,W,0.515,0.00,210724,0.00
2024-07-21 13:50:11,134854.00,A,5556.44043,N,00315.14389,W,0.535,0.00,210724,0.00
2024-07-21 13:50:19,134855.00,A,5556.43992,N,00315.14379,W,0.604,0.00,210724,0.00
2024-07-21 13:50:27,134856.00,A,5556.43977,N,00315.14387,W,0.481,0.00,210724,0.00
2024-07-21 13:50:35,134857.00,A,5556.43924,N,00315.14376,W,0.682,0.00,210724,0.00
2024-07-21 13:50:44,134858.00,A,5556.43898,N,00315.14374,W,0.613,0.00,210724,0.00
2024-07-21 13:50:52,134859.00,A,5556.43837,N,00315.14370,W,0.658,0.00,210724,0.00
2024-07-21 13:51:00,134900.00,A,5556.43805,N,00315.14372,W,0.618,0.00,210724,0.00
2024-07-21 13:51:08,134901.00,A,5556.43810,N,00315.14381,W,0.575,0.00,210724,0.00
2024-07-21 13:51:16,134902.00,A,5556.43777,N,00315.14385,W,0.439,0.00,210724,0.00
2024-07-21 13:51:24,134903.00,A,5556.43764,N,00315.14390,W,0.498,0.00,210724,0.00
2024-07-21 13:51:32,134904.00,A,5556.43733,N,00315.14383,W,0.679,0.00,210724,0.00
2024-07-21 13:51:40,134905.00,A,5556.43723,N,00315.14386,W,0.519,0.00,210724,0.00
2024-07-21 13:51:48,134906.00,A,5556.43707,N,00315.14381,W,0.546,0.00,210724,0.00
2024-07-21 13:51:56,134907.00,A,5556.43696,N,00315.14383,W,0.475,0.00,210724,0.00
2024-07-21 13:52:04,134908.00,A,5556.43710,N,00315.14390,W,0.298,0.00,210724,0.00
2024-07-21 13:52:12,134909.00,A,5556.43724,N,00315.14402,W,0.095,0.00,210724,0.00
2024-07-21 13:52:20,134910.00,A,5556.43721,N,00315.14410,W,0.141,0.00,210724,0.00
2024-07-21 13:52:28,134911.00,A,5556.43708,N,00315.14405,W,0.228,0.00,210724,0.00
2024-07-21 13:52:36,134912.00,A,5556.43707,N,00315.14416,W,0.147,0.00,210724,0.00
2024-07-21 13:52:44,134913.00,A,5556.43703,N,00315.14412,W,0.206,0.00,210724,0.00
2024-07-21 13:52:53,134914.00,A,5556.43706,N,00315.14421,W,0.294,0.00,210724,0.00
2024-07-21 13:53:01,134915.00,A,5556.43705,N,00315.14420,W,0.350,0.00,210724,0.00
2024-07-21 13:53:09,134916.00,A,5556.43715,N,00315.14430,W,0.173,0.00,210724,0.00
2024-07-21 13:53:17,134917.00,A,5556.43714,N,00315.14429,W,0.254,0.00,210724,0.00
